t_index         term            df
1               0               8
2               0000            1
3               0136            1
4               015             6
5               02              2
6               021111206       1
7               06              3
8               0for5           1
9               1               115
10              10              152
11              100             60
12              1000            38
13              10000           26
14              100000          24
15              100000strong    2
16              10000seat       5
17              1000yearold     1
18              10016           1
19              10017           1
20              10018           1
21              1006            1
22              1008            1
23              100degre        1
24              101             4
25              10115           1
26              101150050       1
27              101162247       1
28              101mile         1
29              101milelong     1
30              1020            5
31              103             2
32              1030            5
33              1033            1
34              104             1
35              106th           1
36              107th           2
37              108             3
38              10800           1
39              10day           1
40              10minut         1
41              10monthlong     1
42              10page          2
43              10peopl         1
44              10stori         1
45              10th            13
46              10year          12
47              10yearold       4
48              11              64
49              110             1
50              1100            5
51              11000           3
52              110degre        1
53              111             1
54              1111            1
55              1118            3
56              1120            2
57              1122            1
58              1127            1
59              1130            5
60              1135            5
61              113yearold      1
62              115             1
63              1157            1
64              116             2
65              116yearold      6
66              117             1
67              118             41
68              118574          3
69              118man          1
70              119             1
71              1199            1
72              11judg          1
73              11member        1
74              11percentag     1
75              11th            8
76              11yearold       2
77              12              158
78              120             3
79              1200            19
80              12000           6
81              1202            1
82              120member       1
83              120seat         6
84              1215            7
85              123             3
86              124             2
87              1244            1
88              1245            1
89              125             5
90              125000          3
91              12501           1
92              126683          2
93              128player       1
94              12gaug          1
95              12mile          2
96              12milelong      2
97              12stori         1
98              12strong        1
99              12th            15
100             12thseed        1
101             12year          2
102             12yearold       19
103             13              99
104             130             2
105             1300            2
106             13000           7
107             131             7
108             1314            2
109             1315            1
110             132             1
111             134             3
112             135             3
113             135000          1
114             137133          2
115             138page         2
116             139countri      1
117             13day           1
118             13match         1
119             13th            9
120             13thseed        1
121             13year          13
122             14              54
123             140             11
124             1400            3
125             14000           5
126             141000          2
127             143             2
128             1431            1
129             1450            1
130             14500           3
131             145mile         1
132             146             1
133             14650ton        1
134             146th           1
135             147             2
136             1498            2
137             1499            1
138             14th            2
139             14thseed        1
140             14year          3
141             14yearold       3
142             15              64
143             150             22
144             1500            17
145             15000           13
146             150000          19
147             150000plu       1
148             15000seat       1
149             1500foot        5
150             1500mile        2
151             151             2
152             1516            2
153             152             1
154             153             1
155             153000          2
156             1538            6
157             1545            3
158             155             2
159             15foothigh      3
160             15hour          5
161             15minut         6
162             15month         1
163             15nation        2
164             15seed          2
165             15th            5
166             15thseed        1
167             15yearold       1
168             16              69
169             160             2
170             1600            3
171             16000           2
172             160000          2
173             16148           3
174             163000          1
175             16317           1
176             1640            1
177             165             1
178             16557           1
179             168             1
180             16inch          1
181             16member        2
182             16page          1
183             16th            2
184             16thseed        1
185             16year          1
186             16yearold       8
187             17              191
188             170             2
189             1700            2
190             170000          1
191             17061           1
192             17090           1
193             172             1
194             175             1
195             176             4
196             176174          1
197             177             1
198             178             2
199             1784            1
200             1792            1
201             17th            1
202             17yearold       11
203             18              43
204             180             2
205             1800            2
206             18000           6
207             18002258550     1
208             18002577575     2
209             18002hunger     1
210             1800424adra     1
211             1800521care     1
212             18005355433     1
213             18005548583     1
214             180055crwrc     1
215             18006787255     1
216             18007363467     1
217             180077oxfam     1
218             18008897146     1
219             1800forkid      1
220             1800helpnow     2
221             1800lwrlwr2     1
222             1800sponsor     1
223             1819            1
224             182             2
225             1839            1
226             185             2
227             1869            1
228             187             1
229             1876            1
230             188             1
231             1881            1
232             1888            3
233             18883920392     1
234             188856child     1
235             18footdeep      2
236             18member        1
237             18monthold      5
238             18parti         9
239             18th            2
240             18year          1
241             18yearold       10
242             19              66
243             190             3
244             190000          3
245             1904            1
246             1906            1
247             1907            3
248             1909            1
249             1914            1
250             1920            2
251             1927            2
252             1928            5
253             193             1
254             1930            1
255             19303           1
256             1931            2
257             1932            2
258             1933            1
259             1937            1
260             1941            1
261             1944            1
262             1945            5
263             1947            2
264             1948            1
265             1950            12
266             1953            1
267             1954            4
268             1956            1
269             1957            2
270             1960            16
